name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2013-02-09,4.1,2,3.1,2.5,-0.8,1,0.7,83.8,0.998,100,12.5,rain,0,0,,18.5,206.8,1018.9,64.3,19,72.7,6,4,,2013-02-09T07:25:18,2013-02-09T17:04:53,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-10,5.1,1.1,3.5,2.2,-3.7,-0.3,2.4,92.7,7.139,100,12.5,rain,0,0,46.4,23.4,129,999.4,89.7,7.4,14.2,1.2,1,,2013-02-10T07:23:30,2013-02-10T17:06:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-11,2.1,0.8,1.5,-1.3,-3.3,-2,0.3,91.8,11.871,100,16.67,"rain,snow",0,0,,14.7,49.9,999.2,90.3,4.1,43.9,3.7,2,,2013-02-11T07:21:41,2013-02-11T17:08:33,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-12,2.5,1.6,2,0.2,-1.8,-0.8,-2.2,73.6,0.5,100,8.33,"rain,snow",0,0,,13.1,42.9,1015.2,79.8,7.1,74.4,6.6,3,,2013-02-12T07:19:50,2013-02-12T17:10:23,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-13,3.3,1.3,2,1.8,-3.1,-1.4,-2.8,70.3,0.001,100,4.17,rain,0,0,48.2,19.7,148.3,1021.2,83.7,7.1,40.4,3.6,2,,2013-02-13T07:17:58,2013-02-13T17:12:13,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-14,11,4.3,8,11,-0.1,5.8,4.6,79.9,1.514,100,12.5,rain,0,0,53.6,26,243.3,1011.5,68.8,27.7,87.7,7.7,4,,2013-02-14T07:16:05,2013-02-14T17:14:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-15,10.6,2.3,6.6,10.6,0.5,5,2.2,74.8,0,0,0,,0,0,,14.7,279.3,1019.9,56.8,27.2,75.7,6.4,4,,2013-02-15T07:14:10,2013-02-15T17:15:52,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-16,10.3,4.5,7.1,10.3,4.5,6.7,1.3,68.4,0,0,0,,0,0,,9.2,184.2,1023.6,86.8,26.3,80,6.9,3,,2013-02-16T07:12:14,2013-02-16T17:17:42,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-17,10.8,3.1,5.2,10.8,0.8,3.4,2.1,82.4,0,0,0,,0,0,,18,105.8,1021.7,37,13.3,115.8,10.1,5,,2013-02-17T07:10:16,2013-02-17T17:19:31,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-18,7.9,1.8,4.6,5.8,0.1,2.3,1.5,81.5,0.001,100,4.17,rain,0,0,,17.3,98.8,1020.4,59,11.3,116.9,10.2,5,,2013-02-18T07:08:18,2013-02-18T17:21:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-19,10.6,-1.2,4.7,10.6,-1.2,4.5,0.5,77.1,0.001,100,4.17,"rain,snow",0,0,,5.9,353.8,1019.6,4.3,9.9,118.5,10.3,5,,2013-02-19T07:06:18,2013-02-19T17:23:09,0.3,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-20,5.6,2,3.5,4.1,-2.7,0,-0.4,76.2,0.997,100,8.33,rain,0,0,,24.5,79.4,1023,64.6,15.1,110.8,9.4,5,,2013-02-20T07:04:17,2013-02-20T17:24:58,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-21,2.6,1.1,1.9,-1.5,-3.7,-2.8,-5.6,57.8,0,0,0,,0,0,,22.3,81.7,1024,90.4,31.5,116.3,10,4,,2013-02-21T07:02:15,2013-02-21T17:26:46,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-22,1.8,0.6,1.3,-2.7,-4.1,-3.4,-5.6,60.2,0,0,0,,0,0,,22.4,47.5,1020.5,78.2,35.3,93.3,8.2,4,,2013-02-22T07:00:12,2013-02-22T17:28:34,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-23,2.1,0.5,1.3,-1.3,-4,-2.7,-4.3,66.2,0,0,0,,0,0,,18,30.9,1020.9,77,17.6,79.6,6.8,3,,2013-02-23T06:58:08,2013-02-23T17:30:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-24,2.6,1.1,1.9,-1.6,-3,-2.3,-3.2,68.9,0,0,0,,0,0,,20.2,6.9,1024,79.2,24.8,86.5,7.5,4,,2013-02-24T06:56:03,2013-02-24T17:32:10,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-25,4.8,2,3.6,1.1,-2.1,-0.4,0.4,80,0,0,0,,0,0,,24.1,18.5,1027.1,92.7,12.9,95.2,8.2,4,,2013-02-25T06:53:57,2013-02-25T17:33:57,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-26,5.3,3.1,4.2,2.3,-1.2,0.7,2.6,89.1,0.303,100,8.33,rain,0,0,,22.8,43,1032.2,98.5,4.2,81.9,7,3,,2013-02-26T06:51:51,2013-02-26T17:35:44,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-27,6.8,2.5,4,3.7,-2,0.4,0.8,79.9,0.299,100,4.17,rain,0,0,46.4,19.9,41,1034.2,87.9,12.4,116.2,10,5,,2013-02-27T06:49:43,2013-02-27T17:37:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-28,8,2.8,4.6,5.1,-1.2,1.2,0.9,77.1,0,0,0,,0,0,,20,44.8,1029.7,77.5,20,37.3,3.3,1,,2013-02-28T06:47:35,2013-02-28T17:39:17,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-01,7,3,5,3.6,-1.3,2,1,76.1,0.5,100,8.33,rain,0,0,,20.7,41.9,1029.2,88.3,20.1,88.5,7.5,4,,2013-03-01T06:45:26,2013-03-01T17:41:03,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-02,5,1.6,3.6,3.1,0.1,1.5,-1.5,69.6,0.001,100,4.17,rain,0,0,,15.1,45.1,1027.7,80,28.7,114.3,9.9,4,,2013-03-02T06:43:16,2013-03-02T17:42:49,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-03,8.3,-0.5,4,5.4,-0.5,2.3,0.4,78.3,0,0,0,,0,0,,21.1,90.9,1023.5,68,18.4,138,12,5,,2013-03-03T06:41:06,2013-03-03T17:44:35,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-04,9.4,2.6,5,6.8,-0.5,2.3,0.9,75.6,0,0,0,,0,0,,19.3,88.5,1013.7,65.3,8,148,12.8,5,,2013-03-04T06:38:54,2013-03-04T17:46:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-05,16.5,2.3,8.7,16.5,0.8,8,3.5,72.3,0,0,0,,0,0,,12.3,122.2,1004.5,29.8,13.9,138.7,11.8,5,,2013-03-05T06:36:43,2013-03-05T17:48:05,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-06,13.6,8.3,10.3,13.6,7.2,9.8,4.9,69.6,0,0,0,,0,0,,12.4,78.1,1000.6,84.8,10.9,98.2,8.5,4,,2013-03-06T06:34:30,2013-03-06T17:49:50,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-07,9.8,7.6,8.9,8.7,6.5,7.6,7.7,92,2.52,100,12.5,rain,0,0,,12.9,82.8,996.9,75.1,3.2,41.8,3.5,2,,2013-03-07T06:32:18,2013-03-07T17:51:34,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-08,10.1,8.4,9.3,10.1,6.9,8.4,8.6,95.6,8.893,100,16.67,rain,0,0,,10.3,58.8,997.6,74.9,2.8,35.7,3,2,,2013-03-08T06:30:04,2013-03-08T17:53:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-09,8.5,4.1,6.5,8.3,1.3,4.7,4.6,87.4,5.576,100,12.5,rain,0,0,,12,354.9,1002.5,91.7,6.8,44.5,3.9,2,,2013-03-09T06:27:50,2013-03-09T17:55:02,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-10,3.8,1.5,2.8,0.3,-4,-1.5,-0.4,79,0,0,0,,0,0,50,26.6,44.8,1006,85.9,25.6,123.4,10.6,5,,2013-03-10T06:25:36,2013-03-10T17:56:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-11,1.3,-1.2,0.1,-4.2,-8.1,-6.4,-4.9,69.5,0.001,100,4.17,"rain,snow",0,0,65.7,35.4,49.1,1007.2,76.7,27.4,55.4,4.8,2,,2013-03-11T06:23:21,2013-03-11T17:58:29,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-12,4.5,-1.4,1.4,-0.3,-8.4,-4.1,-5.8,60.2,0,0,0,,0,0,63.5,35.8,33.5,1008.9,68.1,31.6,149.1,12.8,5,,2013-03-12T06:21:06,2013-03-12T18:00:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-13,7.1,1.6,3.4,3.9,-1.8,0.2,-1.5,71.2,0.795,100,4.17,rain,0,0,,19.1,346.4,1010.8,35.8,31.5,122.6,10.8,5,,2013-03-13T06:18:51,2013-03-13T18:01:56,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-03-14,7,-0.2,3.5,5.1,-2.6,1.5,-3.2,64,0.001,100,4.17,rain,0,0,,13.3,295.3,1015.7,46.5,25.2,142,12.4,5,,2013-03-14T06:16:35,2013-03-14T18:03:38,0.09,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
